date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,69.238,,,,,,,,,,
2015-12-15,68.674,,,,,,,,,,
2015-12-16,68.22099999999999,,,,,68.84666666666665,,,,,
2015-12-17,67.946,,,,,68.41333333333333,,,,,
2015-12-18,67.353,,,,,67.9051282051282,,,,,
2015-12-21,66.92,,,,,67.4843392504931,,24.25562817719681,,,
2015-12-22,66.811,,,,,67.63905628887878,,39.86873032063503,,,
2015-12-23,66.894,,,,,67.82535532135896,,41.28210851019175,,,
2015-12-24,66.94800000000001,,,,,67.97068527191912,,41.051191488461704,,,
2015-12-28,67.148,,,,,68.10596446085464,,41.404167740129644,,,
2015-12-29,67.38,68.309,,,,68.20504685149238,,41.07309563654778,,,
2015-12-30,67.52000000000001,68.09700000000001,,,,68.17657810510894,,38.643876162095324,,,
2015-12-31,67.50800000000001,67.86449999999999,,,,68.00171993509218,,35.59986934504616,,,
2016-01-04,67.443,67.69449999999999,,,,67.59837840661646,,31.12715589459407,,,
2016-01-05,67.491,67.422,,,,67.28939711329085,,32.286188941258914,,,
2016-01-06,67.336,67.128,,,,66.72487448047687,,27.594751739786858,,,
2016-01-07,66.669,66.74000000000001,,,,65.97027840655736,67.60192307692307,24.14277908922317,-1.6316446703657164,,
2016-01-08,66.04899999999999,66.4715,,,,65.45946634401007,67.23511396011396,28.579422104469387,-1.775647616103896,,
2016-01-11,65.488,66.218,,,,65.10570229108544,66.93325366677219,31.240555730152522,-1.8275513756867525,,
2016-01-12,65.035,66.0915,,,,64.98482501553383,66.73967932108536,36.99120636412502,-1.7548543055515324,,
2016-01-13,64.187,65.78349999999999,,,,64.25946732083632,66.26044381581978,28.141736794796643,-2.000976494983462,,
2016-01-14,63.45899999999999,65.48949999999999,,,,63.71801080993843,65.85152205168498,30.227805678603175,-2.133511241746554,,
2016-01-15,62.709999999999994,65.109,,,,63.07677837764021,65.38474264044905,28.010589851321072,-2.307964262808838,,
2016-01-19,62.010000000000005,64.7265,,,,62.35419708877249,64.8658728152306,25.991928639882985,-2.5116757264581153,,
2016-01-20,61.431999999999995,64.4615,,,,61.96278215203826,64.49136371780611,32.40398237716208,-2.528581565767851,-2.0524896954969685,-0.47609187027088273
2016-01-21,61.23499999999999,64.2855,,,,61.914661820955445,64.28089233130196,39.649440286150195,-2.3662305103465116,-2.115237858466877,-0.2509926518796344
2016-01-22,61.299,63.983999999999995,,,,61.99856000234691,64.14601141787219,42.5678846543214,-2.147451415525275,-2.121680569878557,-0.025770845646718055
2016-01-25,61.04600000000001,63.5475,,,,61.70955077121662,63.847788349881654,37.001146207487345,-2.1382375786650343,-2.1249919716358523,-0.013245607029181983
2016-01-26,60.92399999999999,63.206,,,,61.745004498721755,63.70647069433487,43.2205679216398,-1.961466195613113,-2.0922868164313044,0.13082062081819146
2016-01-27,60.556,62.79549999999999,,,,61.57500380661072,63.479324716976734,40.17003174116566,-1.9043209103660175,-2.054693635218247,0.15037272485222974
2016-01-28,60.45,62.31849999999999,,,,61.21115706713214,63.163078441645126,37.07053006527395,-1.9519213745129846,-2.034139183077195,0.08221780856421024
2016-01-29,60.504,61.9815,,,,61.22174828757335,63.02359114967142,43.827228611980615,-1.80184286209807,-1.9876799188813699,0.18583705678329987
2016-02-01,60.69100000000001,61.7005,,,,61.2522485510236,62.904806620066125,44.26310726159484,-1.6525580690425272,-1.9206555489136012,0.268097479871074
2016-02-02,60.75999999999999,61.385000000000005,,,,60.91651800471227,62.6207468704316,38.818099265541704,-1.7042288657193296,-1.8773702122747469,0.17314134655541724
2016-02-03,60.718,61.075,,,,60.68166908091038,62.381432287436674,39.90223030387517,-1.699763206526292,-1.8418488111250562,0.14208560459876418
2016-02-04,60.624,60.929500000000004,,,,60.68602768384724,62.25762248836729,44.287722683715145,-1.5715948045200463,-1.7877980098040545,0.21620320528400816
2016-02-05,60.379,60.839,,,,60.58202342479382,62.09113193367341,42.51590032397221,-1.5091085088795921,-1.7320601096191621,0.22295160073957
2016-02-08,60.311,60.6785,,,,60.406327513287074,61.89475179043834,41.07486549374994,-1.4884242771512675,-1.6833329431255835,0.194908665974316
2016-02-09,60.194,60.55899999999999,,,,60.46227712662753,61.81143684299847,45.69960774377738,-1.3491597163709415,-1.6164982977746551,0.2673385814037137
2016-02-10,60.267999999999994,60.412,,,,60.60346526099252,61.77947855833192,47.726054102558734,-1.176013297339395,-1.5284012976876034,0.3523880003482083
2016-02-11,60.50600000000001,60.477999999999994,64.3522,,,60.75523983622445,61.76544310956659,48.43943901859369,-1.0102032733421424,-1.4247616928185114,0.41455841947636896
2016-02-12,60.758,60.63100000000001,64.18299999999999,,,61.223664476805304,61.91615102737647,55.345928627808235,-0.6924865505711679,-1.2783066643690426,0.5858201137978747
2016-02-16,61.122,60.90650000000001,64.0504,,,61.81386994191218,62.14902872905229,58.73935691882103,-0.3351587871401094,-1.089677088923256,0.7545183017831467
2016-02-17,61.883,61.3215,64.0084,,,62.56250533546415,62.484656230603974,62.66755354015876,0.07784910486017793,-0.8561718501665693,0.9340209550267472
2016-02-18,62.43800000000001,61.577999999999996,63.8864,,,62.928273745392744,62.66653354685553,56.4510244523738,0.2617401985372112,-0.6325894404258132,0.8943296389630244
2016-02-19,62.938,61.78099999999999,63.8106,,,63.356231630716934,62.89197550634771,58.416866422784445,0.46425612436922137,-0.4132203274668063,0.8774764518360276
2016-02-22,63.61600000000001,61.9975,63.7548,,,63.884503687529715,63.18071806143307,61.071222253165026,0.7037856260966464,-0.1898191367541158,0.8936047628507622
2016-02-23,64.299,62.30499999999999,63.719800000000006,,,64.25150312021745,63.40955376058618,59.11462631031054,0.8419493596312719,0.01653456252296176,0.8254147971083101
2016-02-24,64.925,62.5595,63.6958,,,64.67896417864553,63.67773496350572,61.0773616399104,1.0012292151398086,0.21347349304633112,0.7877557220934774
2016-02-25,65.61699999999999,62.94250000000001,63.7248,,,65.23604661270006,64.020124966209,64.17253291426655,1.2159216464910685,0.4139631237352786,0.8019585227557899
