date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,29.654000000000003,,,,,,,,,,
2015-12-15,29.493000000000002,,,,,,,,,,
2015-12-16,29.419,,,,,29.564999999999998,,,,,
2015-12-17,29.304999999999996,,,,,29.381153846153843,,,,,
2015-12-18,29.091,,,,,29.150207100591714,,,,,
2015-12-21,28.901,,,,,28.97940600819299,,28.284671532846687,,,
2015-12-22,28.756999999999998,,,,,28.87642046847099,,31.898160490535815,,,
2015-12-23,28.665,,,,,28.800048088706223,,32.84292907844443,,,
2015-12-24,28.583999999999996,,,,,28.744656075059112,,33.692051072927754,,,
2015-12-28,28.538999999999998,,,,,28.708555140434633,,34.72893587876655,,,
2015-12-29,28.470999999999997,29.0625,,,,28.682623580367764,,35.196639082402584,,,
2015-12-30,28.431,28.962,,,,28.640681491080414,,34.05777294909423,,,
2015-12-31,28.318,28.8685,,,,28.58826895399112,,33.082330620646275,,,
2016-01-04,28.261000000000003,28.782999999999998,,,,28.466996807223254,,29.014503418317602,,,
2016-01-05,28.242,28.666500000000003,,,,28.347458836881216,,28.193173346106533,,,
2016-01-06,28.176,28.5385,,,,28.19861901582257,,25.962657000349353,,,
2016-01-07,27.958,28.357499999999998,,,,27.88036993646525,28.729230769230767,19.323872009768024,-0.8488608327655172,,
2016-01-08,27.673000000000002,28.169,,,,27.518774561624443,28.492250712250712,17.06784599218497,-0.9734761506262686,,
2016-01-11,27.344,27.964,,,,27.154347705989913,28.244676585417327,15.809003278088582,-1.090328879427414,,
2016-01-12,27.044999999999998,27.791999999999994,,,,26.90290959737608,28.04284869020123,21.85278888049244,-1.1399390928251485,,
2016-01-13,26.645,27.558000000000003,,,,26.539385043933606,27.78337841685299,18.13865528508478,-1.243993372919384,,
2016-01-14,26.299,27.365,,,,26.29486426794382,27.57349853412314,23.96139349509336,-1.2786342661793206,,
2016-01-15,25.951,27.134500000000003,,,,26.067962072875538,27.36953567974365,23.39321795122143,-1.3015736068681107,,
2016-01-19,25.641999999999996,26.9515,,,,25.85904483089469,27.172533036799674,22.898439955817267,-1.313488205904985,,
2016-01-20,25.299,26.7705,,,,25.61303793383397,26.956789848888587,20.94662361086621,-1.343751915054618,-1.1704495913967519,-0.17330232365786613
2016-01-21,25.052,26.613999999999997,,,,25.504878251705666,26.80517578600795,30.201388019547508,-1.3002975343022847,-1.1964191799778585,-0.10387835432442616
2016-01-22,24.996000000000002,26.476999999999997,,,,25.514896982212488,26.713681283340694,38.12261015182276,-1.1987843011282067,-1.1968922042079282,-0.0018920969202784743
2016-01-25,24.98,26.3265,,,,25.49260513879518,26.61414933642657,36.761149081696765,-1.1215441976313905,-1.1818226028926206,0.060278405261230183
2016-01-26,25.032,26.188,,,,25.519896655903615,26.544212348543123,40.21039550502019,-1.024315692639508,-1.1503212208419982,0.1260055282024901
2016-01-27,25.057000000000002,26.051,,,,25.558374093456905,26.486863285688077,41.35857087674701,-0.9284891922311722,-1.105954815119833,0.17746562288866086
2016-01-28,25.145000000000003,25.895,,,,25.537085771386614,26.40783637563711,38.56698517599825,-0.870750604250496,-1.0589139729459658,0.1881633686954698
2016-01-29,25.289,25.794,,,,25.668303345019446,26.406515162626953,48.86773512572596,-0.7382118176075068,-0.994773541878274,0.2565617242707673
2016-02-01,25.434,25.692500000000003,,,,25.7608720611703,26.39640292835829,47.79993848835717,-0.6355308671879918,-0.9229250069402176,0.28739413975222583
2016-02-02,25.47,25.556,,,,25.654584051759485,26.29815085959101,38.69451026212711,-0.643566807831526,-0.8670533671184794,0.22348655928695338
2016-02-03,25.57,25.4345,,,,25.593878813027256,26.221250795917605,40.62313330852583,-0.6273719828903488,-0.8191170902728533,0.1917451073825045
2016-02-04,25.618000000000002,25.335,,,,25.562512841792294,26.15967666288667,41.96833514281673,-0.5971638210943766,-0.774726436437158,0.1775626153427814
2016-02-05,25.491,25.2435,,,,25.368280096901174,26.021922836006176,34.840980456836405,-0.6536427391050026,-0.750509696970727,0.09686695786572441
2016-02-08,25.300000000000004,25.14,,,,25.074698543531763,25.832150774079793,30.536998435297008,-0.7574522305480293,-0.7518982036861874,-0.005554026861841921
2016-02-09,25.272,25.152,,,,25.12320645991149,25.799398864888698,46.7986726101097,-0.6761924049772077,-0.7367570439443916,0.06056463896718389
2016-02-10,25.246000000000002,25.1515,,,,25.182713158386647,25.77796191193398,47.61975708028418,-0.595248753547331,-0.7084553858649795,0.11320663231764849
2016-02-11,25.201,25.173000000000002,27.023200000000003,,,25.149988057096394,25.71811288142035,44.305968468776236,-0.5681248243239558,-0.6803892735567747,0.11226444923281886
2016-02-12,25.144,25.216500000000003,26.9312,,,25.2530668175431,25.72566007538921,50.182600864090126,-0.4725932578461105,-0.6388300704146419,0.1662368125685314
2016-02-16,25.160000000000004,25.297,26.856400000000004,,,25.43413346099801,25.77783340313816,53.93881680041055,-0.34369994214015165,-0.5798040447597439,0.23610410261959225
2016-02-17,25.376,25.423000000000002,26.810800000000004,,,25.710420620844467,25.885401299202,58.37185427207765,-0.17498067835753517,-0.4988393714793022,0.323858693121767
2016-02-18,25.553,25.561500000000002,26.750999999999998,,,25.913432833022238,25.97018638815,56.89755844848797,-0.05675355512776292,-0.41042220820899433,0.3536686530812314
2016-02-19,25.776,25.696999999999996,26.7046,,,26.175981627941894,26.09239480384259,60.0991777565719,0.08358682409930296,-0.3116204017473349,0.39520722584663787
2016-02-22,26.125,25.808,26.665399999999998,,,26.424292146720063,26.218143336891288,60.99812640205352,0.20614880982877537,-0.20806655943211289,0.41421536926088826
2016-02-23,26.615,25.9575,26.646600000000003,,,26.72209335491698,26.37679938601045,63.93227687295232,0.3452939689065282,-0.09739445376438469,0.4426884226709129
2016-02-24,26.944,26.108000000000004,26.635200000000005,,,27.02330976185283,26.547406838898567,65.50140402649971,0.47590292295426195,0.017265021579344633,0.45863790137491733
2016-02-25,27.284,26.264999999999997,26.6342,,,27.313569798490853,26.722413739720896,66.6252829936158,0.5911560587699576,0.13204322901746723,0.45911282975249035
