date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,70.269,,,,,,,,,,
2015-12-15,69.977,,,,,,,,,,
2015-12-16,69.74,,,,,70.11166666666666,,,,,
2015-12-17,69.488,,,,,69.87294871794872,,,,,
2015-12-18,69.035,,,,,69.52018737672584,,,,,
2015-12-21,68.8,,,,,69.29092778030649,,29.61460446247466,,,
2015-12-22,68.712,,,,,69.22616966025933,,35.52951264827787,,,
2015-12-23,68.702,,,,,69.22368202021943,,37.80768455770839,,,
2015-12-24,68.671,,,,,69.1985001709549,,37.18341545055356,,,
2015-12-28,68.72800000000001,,,,,69.195653990808,,38.06447698802569,,,
2015-12-29,68.87800000000001,69.5735,,,,69.26401491529907,,41.4543824275996,,,
2015-12-30,68.89500000000001,69.436,,,,69.26955108217614,,39.72375402380183,,,
2015-12-31,68.788,69.264,,,,69.14346630030289,,35.71002354555068,,,
2016-01-04,68.64500000000001,69.06649999999999,,,,68.83370225410245,,30.547995811727134,,,
2016-01-05,68.526,68.78049999999999,,,,68.45774806116361,,28.096013298169353,,,
2016-01-06,68.26599999999999,68.533,,,,67.99194066713845,,25.263028436216402,,,
2016-01-07,67.78999999999999,68.251,,,,67.39471902604022,68.93384615384615,21.981052324236728,-1.5391271278059264,,
2016-01-08,67.294,67.998,,,,66.9109160989571,68.58689458689457,23.121806228393396,-1.6759784879374706,,
2016-01-11,66.825,67.748,,,,66.52000592988678,68.27453202490238,24.145595496116457,-1.7545260950156063,,
2016-01-12,66.398,67.563,,,,66.2723127099042,68.02530743046516,28.744187651665854,-1.752994720560963,,
2016-01-13,65.77099999999999,67.3245,,,,65.82580306222663,67.6804698430233,24.23236923101088,-1.854666780796677,,
2016-01-14,65.152,67.0235,,,,65.40798720649946,67.34191652131787,23.559990457972077,-1.933929314818414,,
2016-01-15,64.466,66.62700000000001,,,,64.8206045593457,66.91584863084988,20.05631286575648,-2.095244071504183,,
2016-01-19,63.866,66.2555,,,,64.25281924252329,66.48726725078693,19.12917525641683,-2.234448008263641,,
2016-01-20,63.263,65.8945,,,,63.653923974442776,66.03339560258048,17.657725489152085,-2.3794716281377077,-1.913376248315621,-0.4660953798220868
2016-01-21,62.80200000000001,65.534,,,,63.21793567068235,65.64721815053748,21.540537062661784,-2.4292824798551322,-2.016557494623523,-0.41272498523160905
2016-01-22,62.595000000000006,65.1925,,,,63.03671479826968,65.38001680605322,30.853357624519845,-2.3433020077835423,-2.081906397255527,-0.2613956105280151
2016-01-25,62.412,64.85300000000001,,,,62.941835598535874,65.16075630190113,33.501000847600665,-2.2189207033652565,-2.1093092584774733,-0.10961144488778318
2016-01-26,62.29100000000001,64.55799999999999,,,,62.97539935260728,65.01255213138994,38.444010824139234,-2.037152778782655,-2.0948779625385097,0.05772518375585456
2016-01-27,62.279999999999994,64.339,,,,63.256107144513855,64.99680752906475,47.71906646308489,-1.7407003845508981,-2.0240424469409874,0.2833420623900893
2016-01-28,62.41700000000001,64.094,,,,63.48439835305019,64.97778474913403,47.43744897481421,-1.4933863960838423,-1.9179112367695585,0.4245248406857163
2016-01-29,62.783,63.967499999999994,,,,63.989875529504005,65.11054143438336,56.7396757539936,-1.1206659048793597,-1.7584621703915189,0.6377962655121592
2016-02-01,63.309000000000005,63.8875,,,,64.42989467881108,65.23939021702164,57.06217533809579,-0.8094955382105553,-1.5686688439553262,0.7591733057447709
2016-02-02,63.628,63.747,,,,64.41298780514784,65.171287237983,45.50792782184123,-0.7582994328351589,-1.406594961731293,0.6482955288961341
2016-02-03,64.08,63.6715,,,,64.48483583512508,65.1497104055398,48.01696537159922,-0.6648745704147245,-1.2582508834679793,0.5933763130532548
2016-02-04,64.42299999999999,63.6125,,,,64.44870724510584,65.08306519031463,45.479906158480645,-0.6343579452087909,-1.1334722958161416,0.49911435060735077
2016-02-05,64.501,63.548,,,,64.19813689970493,64.9154307317728,40.277772462966475,-0.7172938320678668,-1.0502366030664867,0.3329427709986199
2016-02-08,64.46799999999999,63.44,,,,63.87380814590418,64.7061395664563,37.8948307103755,-0.8323314205521228,-1.0066555665636139,0.17432414601149104
2016-02-09,64.376,63.333499999999994,,,,63.622453046534304,64.52346256153362,38.69739529746536,-0.9010095149993163,-0.9855263562507545,0.08451684125143821
2016-02-10,63.992999999999995,63.1365,,,,63.21438334706749,64.26024311253113,34.61837332200399,-1.0458597654636392,-0.9975930380933314,-0.048266727370307794
2016-02-11,63.57099999999999,62.99399999999999,66.1812,,,62.79986283213403,63.98318806715845,33.279781244461304,-1.1833252350244194,-1.034739477479549,-0.14858575754487036
2016-02-12,63.072,62.927499999999995,65.97579999999999,,,62.642960857959565,63.819988951072645,40.246778400784635,-1.1770280931130799,-1.0631972006062553,-0.11383089250682454
2016-02-16,62.729,63.01899999999999,65.8064,,,62.762505341350405,63.79036013988208,47.87605615482746,-1.0278547985316777,-1.0561287201913399,0.028273921659662138
2016-02-17,62.802,63.214999999999996,65.6858,,,63.114427596527264,63.883666796187114,54.1430047851793,-0.7692391996598502,-0.998750816085042,0.2295116164251918
2016-02-18,62.79200000000001,63.436,65.5392,,,63.370669504753835,63.950061848321404,53.0061474966448,-0.5793923435675694,-0.9148791215815476,0.3354867780139782
2016-02-19,62.967000000000006,63.69499999999999,65.4516,,,63.77518188863786,64.10190911881611,57.36261889852608,-0.3267272301782498,-0.7972487433008881,0.47052151312263835
2016-02-22,63.35999999999999,63.930499999999995,65.3916,,,64.2328462134628,64.29806399890381,59.82810336490478,-0.06521778544100698,-0.6508425517289119,0.5856247662879049
2016-02-23,64.22900000000001,64.34849999999999,65.42099999999999,,,65.24010064216084,64.77820740639243,69.89992095144699,0.46189323576841446,-0.4282953942294467,0.8901886299978612
2016-02-24,65.28900000000002,64.83250000000001,65.4904,,,66.40931592798225,65.37537722814113,73.55041197236882,1.0339386998411157,-0.1358485754153342,1.16978727525645
2016-02-25,66.598,65.2955,65.5994,,,67.58634424675421,66.0186826186492,75.44940335183495,1.5676616281050144,0.20485346528873555,1.362808162816279
