date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,49.136,,,,,,,,,,
2015-12-15,48.765,,,,,,,,,,
2015-12-16,48.312,,,,,48.830000000000005,,,,,
2015-12-17,47.977000000000004,,,,,48.30846153846154,,,,,
2015-12-18,47.515,,,,,47.82408284023669,,,,,
2015-12-21,47.19,,,,,47.5080700955849,,23.87791741472178,,,
2015-12-22,47.094,,,,,47.50529008087953,,34.730609828300786,,,
2015-12-23,47.075,,,,,47.681399299205765,,40.854952002839376,,,
2015-12-24,47.032,,,,,47.799645560866416,,40.15535165676608,,,
2015-12-28,47.107,,,,,47.83046932073312,,38.55557379245708,,,
2015-12-29,47.194,48.165000000000006,,,,47.915012502158795,,40.703890068410566,,,
2015-12-30,47.208000000000006,47.9865,,,,47.9311644249036,,39.30193764535309,,,
2015-12-31,47.275999999999996,47.794,,,,47.84944682107228,,36.94204542299507,,,
2016-01-04,47.44799999999999,47.7125,,,,47.743378079368846,,36.039921340357814,,,
2016-01-05,47.649,47.58200000000001,,,,47.655166067158255,,36.1099300614178,,,
2016-01-06,47.790000000000006,47.49,,,,47.58206359528776,,36.18515287462481,,,
2016-01-07,47.616,47.355000000000004,,,,47.30020765755118,47.922307692307704,30.631213541888187,-0.622100034756528,,
2016-01-08,47.274,47.1745,,,,46.98171417177407,47.72287749287751,28.894463400588876,-0.7411633211034356,,
2016-01-11,46.952,46.992000000000004,,,,46.712219683808826,47.53821990081251,28.89446340058886,-0.8260002170036813,,
2016-01-12,46.671,46.888999999999996,,,,46.478032040145926,47.36427768593751,28.749043929455837,-0.8862456457915826,,
2016-01-13,46.263,46.7285,,,,46.142950187815785,47.13729415364584,25.655202359327703,-0.9943439658300548,,
2016-01-14,46.032,46.62,,,,46.076342466613355,47.031568660783186,37.18791931315695,-0.9552261941698319,,
2016-01-15,45.82299999999999,46.5495,,,,45.95844362559592,46.90404505628072,35.50524847571572,-0.9456014306848033,,
2016-01-19,45.61,46.529,,,,45.815606144735014,46.76522690396364,34.33411637219858,-0.9496207592286225,,
2016-01-20,45.426,46.5375,,,,45.740897507083474,46.65891379996633,36.7416859644082,-0.9180162928828537,-0.8709242068279326,-0.0470920860549211
2016-01-21,45.289,46.5395,,,,45.75152865983986,46.59603129626512,40.50055046596019,-0.8445026364252541,-0.8656398927473969,0.021137256322142806
2016-01-22,45.367000000000004,46.491499999999995,,,,45.87129348140296,46.59114008913437,45.71156541561824,-0.7198466077314123,-0.8364812357442001,0.11663462801278779
2016-01-25,45.415,46.3445,,,,45.84647909964866,46.5258704529022,41.27762261059706,-0.6793913532535356,-0.8050632592460673,0.12567190599253164
2016-01-26,45.647000000000006,46.2995,,,,46.108559238164254,46.60173190083536,52.42830139232473,-0.4931726626711068,-0.7426851399310752,0.2495124772599684
2016-01-27,45.819,46.245000000000005,,,,46.23185781690822,46.624566574847556,48.94678322975511,-0.3927087579393387,-0.6726898635327279,0.2799811055933892
2016-01-28,46.125,46.193999999999996,,,,46.40541815276849,46.67904312485884,51.3909842893889,-0.27362497209035297,-0.5928768852442529,0.3192519131538999
2016-01-29,46.461,46.2465,,,,46.81535382157334,46.856151041535966,59.35434247162629,-0.040797219962627196,-0.4824609521879277,0.44166373222530053
2016-02-01,46.784000000000006,46.3035,,,,47.08068400286975,46.980880594014785,56.27700689937049,0.0998034088549673,-0.36600807997934875,0.46581148883431606
2016-02-02,47.034,46.322,,,,47.14980954088979,47.021556105569246,50.86485071957236,0.1282534353205449,-0.26715577691937004,0.39540921223991493
2016-02-03,47.28,46.352999999999994,,,,47.248300380752895,47.07847787552708,52.14082292322269,0.16982250522581666,-0.17976012049033271,0.3495826257161494
2016-02-04,47.699,46.494,,,,47.67163878371399,47.29488692178433,61.33256632705047,0.37675186192965526,-0.06845772400633512,0.44520958593599036
2016-02-05,48.057,46.712,,,,48.046771278527224,47.503413816466974,61.72658335725285,0.5433574620602499,0.053905313206981886,0.48945214885326804
2016-02-08,48.475,46.945,,,,48.33034492798458,47.68019797821017,60.400936055492984,0.6501469497744097,0.17315364052046744,0.47699330925394223
2016-02-09,48.70399999999999,47.1755,,,,48.56259955444848,47.84018331315756,60.08510517874598,0.7224162412909223,0.2830061606745584,0.4394100806163639
2016-02-10,48.886,47.3525,,,,48.588353469148714,47.906095660331076,53.40845544502503,0.6822578088176385,0.36285649030317446,0.31940131851446407
2016-02-11,48.979,47.55200000000001,47.53939999999999,,,48.54245293543353,47.93453301882507,50.989717837829886,0.6079199166084592,0.4118691755642314,0.19605074104422782
2016-02-12,49.072,47.7665,47.5076,,,48.76669094536683,48.087530572986175,58.799052878973896,0.6791603723806574,0.46532741492751667,0.21383295745314074
2016-02-16,49.354,48.069,47.5098,,,49.165661569156555,48.329935715727935,63.746731696405,0.8357258534286203,0.5394071026277374,0.2963187508008829
2016-02-17,49.806,48.42,47.575,,,49.60940594313247,48.60549603308142,65.97895103075635,1.0039099100510498,0.6323076641123999,0.3716022459386499
2016-02-18,50.155,48.717499999999994,47.605,,,49.86642041341979,48.803607438038355,61.43306833080875,1.0628129753814335,0.7184087263662067,0.3444042490152268
2016-02-19,50.245,48.972,47.6426,,,50.02543265750906,48.958895775961444,59.262997123338614,1.0665368815476128,0.788034357402488,0.2785025241451249
2016-02-22,50.458,49.2575,47.7184,,,50.366135325584594,49.20194053329763,64.08134085710182,1.1641947922869633,0.863266444379383,0.3009283479075803
2016-02-23,50.619,49.547,47.77160000000001,,,50.54057604472543,49.37216716046077,59.86991688407218,1.1684088842646574,0.9242949323564379,0.2441139519082195
2016-02-24,50.752,49.728,47.8174,,,50.63741049938305,49.5053399633896,58.03811878078771,1.1320705359934493,0.9658500530838403,0.166220482909609
2016-02-25,51.061,49.973499999999994,47.9088,,,50.81934734563181,49.67679626239778,60.59551879864977,1.1425510832340322,1.0011902591138788,0.14136082412015338
2016-02-26,51.427,50.202999999999996,47.997600000000006,,,50.9932939078423,49.84518172444239,61.10607106592357,1.1481121833999097,1.030574643971085,0.11753753942882472
