date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,38.102999999999994,,,,,,,,,,
2015-12-15,37.852,,,,,,,,,,
2015-12-16,37.836,,,,,38.03666666666667,,,,,
2015-12-17,37.831,,,,,38.04794871794872,,,,,
2015-12-18,37.715999999999994,,,,,37.96057199211046,,,,,
2015-12-21,37.682,,,,,37.92509937793962,,36.5576102418208,,,
2015-12-22,37.678,,,,,37.927391781333526,,38.534930562917445,,,
2015-12-23,37.724000000000004,,,,,38.04010073805144,,44.87827352440016,,,
2015-12-24,37.840999999999994,,,,,38.126239086043526,,44.466436318660634,,,
2015-12-28,38.010000000000005,,,,,38.216048457421444,,45.454700122804724,,,
2015-12-29,38.169,38.136,,,,38.34434869474122,,48.5050715208249,,,
2015-12-30,38.357,38.1045,,,,38.44367966478104,,47.99497986783404,,,
2015-12-31,38.396,38.116,,,,38.48157510096857,,45.422865454337604,,,
2016-01-04,38.455,38.143,,,,38.51517893158879,,45.527658856208575,,,
2016-01-05,38.6,38.158,,,,38.57899755749821,,48.000710239341785,,,
2016-01-06,38.688,38.184999999999995,,,,38.58376716403695,,44.94346368674649,,,
2016-01-07,38.775,38.2265,,,,38.61857221572357,38.28653846153846,47.206682051814994,0.3320337541851046,,
2016-01-08,38.751000000000005,38.2375,,,,38.58802264407379,38.296424501424504,43.45539284208374,0.29159814264928485,,
2016-01-11,38.751,38.29600000000001,,,,38.58986531421628,38.31891157539306,45.60390290791717,0.2709537388232235,,
2016-01-12,38.739999999999995,38.375,,,,38.59142449664455,38.33973294017876,45.60390290791717,0.25169155646578645,,
2016-01-13,38.713,38.441,,,,38.620436112545384,38.372345314980336,47.89981286480504,0.24809079756504815,,
2016-01-14,38.788,38.572500000000005,,,,38.792676710615325,38.47365306942624,58.06559895217471,0.31902364118908366,,
2016-01-15,38.879000000000005,38.6375,,,,38.91688029359758,38.557086175394666,56.33915108594096,0.3597941182029132,,
2016-01-19,38.992000000000004,38.7235,,,,39.05736024842872,38.6513760883284,58.52110808705359,0.40598416010032423,,
2016-01-20,38.996,38.798,,,,39.04392021020892,38.67497785956333,48.717342835367745,0.36894235064558956,0.3164569177584842,0.05248543288710533
2016-01-21,39.044,38.866,,,,39.051009408638315,38.70572024033641,49.97661871566568,0.34528916830190326,0.32222336786716804,0.023065800434735217
2016-01-22,39.15,38.962500000000006,,,,39.177007961155496,38.79196318549668,57.3138958809145,0.38504477565881956,0.3347876494254984,0.05025712623332118
2016-01-25,39.206,38.9785,,,,39.14669904405465,38.80589183842285,48.56137862593563,0.34080720563179767,0.3359915606667582,0.004815644965039445
2016-01-26,39.284000000000006,39.0175,,,,39.18259149881547,38.848418368910046,52.10173891063624,0.33417312990542314,0.3356278745144912,-0.0014547446090680816
2016-01-27,39.384,39.062,,,,39.2468081913054,38.904091082324115,53.97790755368999,0.34271710898128305,0.3370457214078496,0.00567138757343344
2016-01-28,39.543,39.128,,,,39.41960693110457,39.01267692807789,59.89850362263455,0.40693000302668025,0.35102257773161577,0.05590742529506448
2016-01-29,39.699,39.2435,,,,39.7088981724731,39.18210826673878,65.64684563432735,0.5267899057343186,0.3861760433321564,0.14061386240216223
2016-02-01,39.876999999999995,39.378,,,,39.9659907613234,39.34491506179517,66.09705156527727,0.6210756995282267,0.4331559745713705,0.18791972495685622
2016-02-02,40.039,39.515499999999996,,,,40.19429987496595,39.500847279439974,66.51061722575825,0.6934525955259758,0.48521529876229164,0.2082372967636842
2016-02-03,40.357,39.6765,,,,40.495176817278875,39.69708081429627,70.39922996115615,0.7980960029826036,0.5477914396063541,0.2503045633762495
2016-02-04,40.690000000000005,39.867000000000004,,,,40.79130346077443,39.89877853175581,71.76124978966169,0.8925249290186201,0.6167381374888073,0.2757867915298128
2016-02-05,40.994,40.071999999999996,,,,41.11725677450144,40.12183197384797,74.09119054146858,0.995424800653474,0.6924754701217407,0.30294933053173334
2016-02-08,41.295,40.2505,,,,41.251524963039685,40.26021479059997,63.49780979496981,0.991310172439718,0.7522424105853363,0.23906776185438172
2016-02-09,41.595,40.439499999999995,,,,41.42513650718743,40.41723591722219,65.73440673856902,1.0079005899652387,0.8033740464613168,0.20452654350392185
2016-02-10,41.899,40.6415,,,,41.612038583004754,40.58188510853907,67.17826245294629,1.0301534744656848,0.8487299320621905,0.18142354240349434
2016-02-11,42.051,40.797,39.315799999999996,,,41.6548018779271,40.67878250790655,59.40250193463307,0.976019370020552,0.8741878196538628,0.10183155036668912
2016-02-12,42.11,40.9045,39.361200000000004,,,41.69098620439985,40.76850232213569,59.402501934633065,0.9224838822641601,0.8838470321759223,0.038636850088237806
2016-02-16,42.179,41.028000000000006,39.4334,,,41.74929601910757,40.864909557533046,60.66963633201227,0.8843864615745218,0.8839549180556422,0.00043154351887964015
2016-02-17,42.222,41.1305,39.5078,,,41.76940432386025,40.94010144216023,58.59080776944182,0.8293028817000234,0.8730245107845185,-0.04372162908449506
2016-02-18,42.291000000000004,41.324,39.592000000000006,,,41.93411135095867,41.080834668666874,65.09807926790991,0.8532766822917992,0.8690749450859747,-0.01579826279417551
2016-02-19,42.346,41.518,39.69,,,42.093478835426566,41.22077284135821,65.88000926685348,0.8727059940683546,0.8698011548824507,0.0029048391859038958
2016-02-22,42.43900000000001,41.716499999999996,39.807199999999995,,,42.3621743992071,41.41478966792427,70.62332251570767,0.9473847312828312,0.8853178701625268,0.06206686112030435
2016-02-23,42.599000000000004,41.947,39.915000000000006,,,42.55107064548293,41.57591635918914,67.71036920837787,0.9751542862937939,0.9032851533887803,0.07186913290501351
2016-02-24,42.701,42.148,40.0344,,,42.681675161562474,41.71103366591587,65.49921146978124,0.9706414956466034,0.916756421840345,0.0538850738062584
2016-02-25,42.811,42.355000000000004,40.168800000000005,,,42.84449436747594,41.86132746844062,67.54188002728822,0.983166899035318,0.9300385172793397,0.05312838175597823
2016-02-26,42.876999999999995,42.464000000000006,40.2706,,,42.79918754171041,41.91234024855613,55.21904807499273,0.8868472931542826,0.9214002724543283,-0.03455297930004575
