date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,9.803999999999998,,,,,,,,,,
2015-12-15,9.756,,,,,,,,,,
2015-12-16,9.74,,,,,9.8125,,,,,
2015-12-17,9.716,,,,,9.799807692307692,,,,,
2015-12-18,9.625,,,,,9.73060650887574,,,,,
2015-12-21,9.561,,,,,9.678205507510242,,35.66666666666667,,,
2015-12-22,9.547,,,,,9.65078927558559,,38.11050814010853,,,
2015-12-23,9.571,,,,,9.656821694726268,,42.195087371070066,,,
2015-12-24,9.581,,,,,9.665002972460687,,42.62434609878409,,,
2015-12-28,9.607000000000001,,,,,9.659617899774428,,41.30310592409267,,,
2015-12-29,9.647,9.7255,,,,9.67506129980913,,44.32330478192277,,,
2015-12-30,9.635,9.6955,,,,9.67120571522311,,42.33818520530325,,,
2015-12-31,9.600999999999999,9.6705,,,,9.660250989804169,,41.42988324819075,,,
2016-01-04,9.572000000000001,9.644,,,,9.62636622214199,,38.57775149045866,,,
2016-01-05,9.578999999999999,9.602,,,,9.594617572581683,,38.22352478136942,,,
2016-01-06,9.565999999999999,9.5635,,,,9.543137946030654,,35.42141605408895,,,
2016-01-07,9.512,9.5295,,,,9.453424415872092,9.647692307692308,30.854173078152826,-0.19426789182021587,,
2016-01-08,9.419,9.495000000000001,,,,9.346743736507156,9.581937321937323,28.239934017468187,-0.23519358543016722,,
2016-01-11,9.315999999999999,9.4485,,,,9.244167777044517,9.515127149941966,27.245511326515697,-0.2709593728974493,,
2016-01-12,9.227,9.417,,,,9.166603503653052,9.457710324020338,29.25753678820027,-0.2911068203672862,,
2016-01-13,9.084,9.3655,,,,9.037895272321814,9.374176225944757,24.310124037908565,-0.33628095362294275,,
2016-01-14,8.955,9.295,,,,8.933603691964612,9.29905206105996,25.305418446357393,-0.3654483690953487,,
2016-01-15,8.815,9.208,,,,8.820741585508518,9.217640797277742,23.528408975134255,-0.3968992117692238,,
2016-01-19,8.678999999999998,9.1255,,,,8.706781341584131,9.133371108590502,22.265547967726533,-0.4265897670063712,,
2016-01-20,8.527000000000001,9.053,,,,8.582661135186573,9.042010285731948,20.48906489417469,-0.45934915054537484,-0.3306772358393755,-0.1286719147059993
2016-01-21,8.384,8.975,,,,8.46686711438864,8.9522317460481,19.826565635870097,-0.48536463165945953,-0.3616147150033923,-0.12374991665606722
2016-01-22,8.280999999999999,8.8965,,,,8.384272173713464,8.876510875970462,23.62580409294425,-0.49223870225699784,-0.3877395124541135,-0.10449918980288436
2016-01-25,8.162,8.7905,,,,8.2589995316037,8.779732292565242,19.958969188025932,-0.5207327609615415,-0.41433816215559915,-0.10639459880594238
2016-01-26,8.075999999999999,8.696,,,,8.191461142126208,8.708641011634484,28.28326421404121,-0.5171798695082757,-0.4349065036261345,-0.08227336588214118
2016-01-27,7.997,8.612,,,,8.15431327410679,8.65244538114304,32.230191077178034,-0.4981321070362501,-0.44755162430815765,-0.05058048272809246
2016-01-28,7.965000000000001,8.5245,,,,8.132111231936515,8.604856834391706,34.03465006914081,-0.47274560245519126,-0.4525904199375644,-0.02015518251762688
2016-01-29,7.941,8.448,,,,8.130247965484743,8.568941513325653,37.329243375427446,-0.4386935478409093,-0.44981104551823337,0.011117497677324062
2016-02-01,7.915000000000001,8.365,,,,8.10097904771786,8.522353253079308,34.30953325557816,-0.4213742053614471,-0.44412367748687614,0.02274947212542905
2016-02-02,7.87,8.2745,,,,8.028520732684344,8.456253012110471,29.833492458881807,-0.42773227942612735,-0.44084539787472643,0.013113118448599081
2016-02-03,7.861999999999999,8.1945,,,,7.996440619963675,8.409123159361547,35.39652612695939,-0.41268253939787236,-0.43521282617935564,0.022530286781483277
2016-02-04,7.869,8.1265,,,,7.981603601507725,8.371410332742172,37.638444701527085,-0.3898067312344473,-0.426131607190374,0.036324875955926705
2016-02-05,7.856,8.0685,,,,7.953664585891152,8.329083641427937,35.95862845108741,-0.3754190555367849,-0.41598909685965624,0.04057004132287134
2016-02-08,7.851999999999999,8.007000000000001,,,,7.8884854188309745,8.269892260581424,31.828237616784534,-0.38140684175044903,-0.40907264583781483,0.027665804087365797
2016-02-09,7.835000000000001,7.955499999999999,,,,7.85179535439544,8.22397431535317,35.38087799916373,-0.3721789609577293,-0.4016939088617978,0.0295149479040685
2016-02-10,7.7909999999999995,7.894,,,,7.799211453719218,8.171087329030712,33.20665855153034,-0.3718758753114937,-0.395730302151737,0.023854426840243304
2016-02-11,7.697999999999999,7.8315,8.8396,,,7.688563537762415,8.090266045398808,27.597157589225304,-0.4017025076363927,-0.39692474324866817,-0.004777764387724537
2016-02-12,7.646000000000001,7.793499999999999,8.7866,,,7.674938378106659,8.053950042035932,40.65330783691215,-0.37901166392927355,-0.39334212738478924,0.014330463455515696
2016-02-16,7.636,7.775499999999999,8.7414,,,7.700332473782558,8.038101890774012,45.53499198334979,-0.33776941699145446,-0.3822275853061223,0.04445816831466781
2016-02-17,7.654999999999999,7.7625,8.6984,,,7.7187428624313945,8.021946195161123,45.201313920650065,-0.3032033327297281,-0.3664227347908435,0.06321940206111537
2016-02-18,7.635000000000001,7.7485,8.6456,,,7.703551652826565,7.992172402926966,41.895104547249225,-0.28862075010040034,-0.3508623378527549,0.062241587752354555
2016-02-19,7.609999999999999,7.7395,8.597999999999999,,,7.695312937007094,7.966826299006449,42.57363070626668,-0.2715133619993555,-0.334992542682075,0.06347918068271952
2016-02-22,7.62,7.7379999999999995,8.5632,,,7.726803254390617,7.961876202783749,48.0209819529909,-0.23507294839313175,-0.3150086238242864,0.07993567543115465
2016-02-23,7.6240000000000006,7.7379999999999995,8.5256,,,7.7026796767920604,7.932848335910879,42.31503952252309,-0.23016865911881812,-0.29804063088319277,0.06787197176437465
2016-02-24,7.600999999999999,7.718000000000001,8.4818,,,7.6591904957471275,7.894859570287851,39.98909208759149,-0.2356690745407235,-0.2855663196146989,0.049897245073975416
