date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,58.147000000000006,,,,,,,,,,
2015-12-15,58.238,,,,,,,,,,
2015-12-16,58.334,,,,,58.18666666666666,,,,,
2015-12-17,58.391999999999996,,,,,58.05333333333333,,,,,
2015-12-18,58.19,,,,,57.878974358974354,,,,,
2015-12-21,57.943,,,,,57.90528599605522,,53.007945516458555,,,
2015-12-22,57.878,,,,,57.919857381277495,,52.846448467966574,,,
2015-12-23,57.927,,,,,57.98603316877327,,53.905114744655506,,,
2015-12-24,57.952,,,,,58.262028065885076,,58.04927739983082,,,
2015-12-28,58.15,,,,,58.377100671133526,,55.17287878701583,,,
2015-12-29,58.35,58.2485,,,,58.51908518326683,,56.05604680211285,,,
2015-12-30,58.311,58.2745,,,,58.36384130891808,,49.564966046795966,,,
2015-12-31,58.153999999999996,58.24399999999999,,,,58.200173415238375,,48.850284466070896,,,
2016-01-04,57.983000000000004,58.1875,,,,57.80168519750939,,43.42380965042511,,,
2016-01-05,57.797000000000004,57.993500000000004,,,,57.379887474815646,,41.79656823937364,,,
2016-01-06,57.512,57.727500000000006,,,,57.04452017099785,,42.38838079768019,,,
2016-01-07,56.975,57.4265,,,,56.36536322161356,57.626153846153855,35.29384030323769,-1.2607906245402916,,
2016-01-08,56.32899999999999,57.12800000000001,,,,55.676845802903784,57.201253561253566,33.55249253774009,-1.5244077583497813,,
2016-01-11,55.513,56.732499999999995,,,,55.05271567938013,56.78782737153108,32.91439192645966,-1.7351116921509515,,
2016-01-12,54.698,56.424,,,,54.40768249793703,56.34872904771396,31.12030794138677,-1.941046549776928,,
2016-01-13,53.574,55.962,,,,53.431115959792876,55.73474911825367,25.586784363291613,-2.3036331584607908,,
2016-01-14,52.60600000000001,55.4585,,,,52.56940581213244,55.14921214653117,25.190551904248082,-2.5798063343987323,,
2016-01-15,51.443000000000005,54.798500000000004,,,,51.50795876411206,54.44704828382516,21.77946932944829,-2.9390895197131,,
2016-01-19,50.4,54.191500000000005,,,,50.53442664655636,53.76060026280107,21.082049344808382,-3.226173616244708,,
2016-01-20,49.406,53.6015,,,,49.70143793170154,53.120555798889875,20.993401179213507,-3.4191178671883335,-2.3254641245359573,-1.0936537426523762
2016-01-21,48.419,52.9655,,,,49.02890901913207,52.543477591564695,22.226062425862793,-3.5145685724326228,-2.5632850141152907,-0.951283558317332
2016-01-22,47.828,52.4015,,,,48.673692246957906,52.11210888107842,30.009955071622926,-3.4384166341205145,-2.7383113381163353,-0.7001052960041791
2016-01-25,47.283,51.806,,,,48.33004728588746,51.6919526676652,29.372238488219566,-3.3619053817777385,-2.863030146848616,-0.49887523492912234
2016-01-26,46.844,51.1785,,,,48.16080924190477,51.36143765524555,33.6559302928694,-3.2006284133407803,-2.930549800147049,-0.27007861319373117
2016-01-27,46.529,50.6135,,,,48.09145397391943,51.090960791894034,36.18838306246042,-2.9995068179746056,-2.9443412037125607,-0.055165614262044915
2016-01-28,46.334,49.95399999999999,,,,47.78661490100875,50.72200073323522,31.827228341830065,-2.9353858322264728,-2.9425501294153436,0.007164297188870794
2016-01-29,46.379,49.49249999999999,,,,47.86252030085356,50.541111790032616,42.030836726623534,-2.6785914891790554,-2.8897584013680864,0.21116691218903094
2016-02-01,46.698,49.070499999999996,,,,48.01597871610686,50.41658499077094,44.42511353067723,-2.400606274664085,-2.7919279760272864,0.3913217013632013
2016-02-02,46.825,48.6125,,,,47.77505891362888,50.12276388034347,37.49521457917261,-2.3477049667145877,-2.7030833741647466,0.3553784074501589
2016-02-03,47.07,48.23800000000001,,,,47.74351138845521,49.93367025957728,42.02158756752327,-2.1901588711220725,-2.600498473556212,0.41033960243413947
2016-02-04,47.378,47.8985,,,,47.84604809792364,49.820805795904896,45.2253661915898,-1.9747576979812536,-2.47535031844122,0.5005926204599667
2016-02-05,47.391999999999996,47.61,,,,47.69434839055078,49.60148684806009,40.750628456091334,-1.907138457509312,-2.361707946254839,0.45456948874552694
2016-02-08,47.315999999999995,47.2995,,,,47.38444863815835,49.31100634079638,37.693022924094485,-1.9265577026380356,-2.2746778975314785,0.3481201948934429
2016-02-09,47.241,47.042500000000004,,,,47.24530269382629,49.10130216740406,40.92906141857155,-1.8559994735777678,-2.1909422127407363,0.33494273916296846
2016-02-10,47.241,46.885000000000005,,,,47.316794587083784,48.99824274759635,45.606655873065634,-1.6814481605125664,-2.0890434022951023,0.4075952417825359
2016-02-11,47.327999999999996,46.830999999999996,52.7466,,,47.26498003522474,48.848743284811434,43.40962018022315,-1.5837632495866956,-1.987987371753421,0.40422412216672554
2016-02-12,47.335,46.857,52.5738,,,47.4319061836517,48.811799337788365,48.43054602647331,-1.379893154136667,-1.8663685282300704,0.48647537409340336
2016-02-16,47.336,47.016999999999996,52.393,,,47.65315138616682,48.81611049795219,50.23534829122466,-1.1629591117853693,-1.7256866449411303,0.5627275331557611
2016-02-17,47.751999999999995,47.2885,52.2704,,,48.108051172910386,48.94899120180759,55.808563360519614,-0.8409400288972009,-1.5487373217323446,0.7077972928351437
2016-02-18,48.189,47.6295,52.1304,,,48.69758176169341,49.1705474090811,59.538597780250626,-0.47296564738769575,-1.3335829868634148,0.8606173394757191
2016-02-19,48.73,48.053999999999995,51.9964,,,49.485646106048264,49.514951304704724,64.14550269350576,-0.029305198656459197,-1.072727429222024,1.0434222305655647
2016-02-22,49.593,48.4925,51.9332,,,50.40939285896391,49.95754750435622,67.66722131562217,0.45184535460769126,-0.767812872456081,1.2196582270637721
2016-02-23,50.57,48.943,51.885,,,51.18487088066177,50.36439583736687,67.49621245141444,0.8204750432948984,-0.45015528930588516,1.2706303326007835
2016-02-24,51.548,49.3945,51.8196,,,51.965659975944575,50.80110725682118,69.19400725224382,1.1645527191233924,-0.1272136876200297,1.291766406743422
2016-02-25,52.463,49.852000000000004,51.8162,,,52.71863536426079,51.249914126686285,70.42628342186543,1.4687212375745062,0.19197329741887748,1.2767479401556288
