date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,119.876,,,,,,,,,,
2015-12-15,119.174,,,,,,,,,,
2015-12-16,118.55499999999999,,,,,119.485,,,,,
2015-12-17,118.351,,,,,118.9673076923077,,,,,
2015-12-18,117.902,,,,,118.35079881656804,,,,,
2015-12-21,118.107,,,,,118.47221438324988,,40.48570550261299,,,
2015-12-22,117.856,,,,,118.36418140121143,,38.729160540185944,,,
2015-12-23,118.09100000000001,,,,,118.78507657025582,,44.9780376555373,,,
2015-12-24,118.04400000000001,,,,,119.07044940560108,,44.3058241178845,,,
2015-12-28,118.03000000000002,,,,,119.11345718935476,,42.39239969078074,,,
2015-12-29,118.554,119.215,,,,119.4652330063771,,46.357110307682156,,,
2015-12-30,118.725,118.94950000000001,,,,119.55058177462678,,44.15411871979326,,,
2015-12-31,118.999,118.777,,,,119.54126150160728,,43.30298886859489,,,
2016-01-04,119.179,118.76500000000001,,,,119.29183665520615,,40.79437754333654,,,
2016-01-05,119.526,118.71399999999998,,,,119.15924640055906,,41.970412406383346,,,
2016-01-06,119.18199999999999,118.64450000000002,,,,118.62705464662689,,37.65825512727026,,,
2016-01-07,118.69500000000001,118.27550000000001,,,,117.7459693163766,118.79846153846152,33.82022867662823,-1.052492222084922,,
2016-01-08,117.82300000000001,117.957,,,,116.92043557539559,118.32301994301993,33.144626720978124,-1.4025843676243426,,
2016-01-11,117.205,117.62449999999998,,,,116.54190702533472,118.03687031761105,38.441808598764695,-1.4949632922763243,,
2016-01-12,116.5,117.26500000000001,,,,115.889305944514,117.61191696075097,35.31274000862315,-1.7226110162369679,,
2016-01-13,115.27000000000001,116.912,,,,114.84479733766571,116.98140459328793,31.253945764636043,-2.1366072556222235,,
2016-01-14,114.38600000000001,116.55549999999998,,,,114.28098236264022,116.55167091971104,36.3731677325449,-2.2706885570708266,,
2016-01-15,113.354,116.17649999999999,,,,113.4946773837725,116.00488048121392,33.75715737748732,-2.510203097441419,,
2016-01-19,112.299,115.73899999999999,,,,112.55241932473058,115.36525970482771,31.567577845953423,-2.8128403800971284,,
2016-01-20,111.19500000000001,115.3605,,,,111.75820096707972,114.77449972669231,31.620649424078806,-3.016298759612596,-2.0465876608963054,-0.9697110987162905
2016-01-21,110.32000000000001,114.751,,,,111.01847774137515,114.19490715434473,31.050129430170657,-3.1764294129695827,-2.272556011310961,-0.9038734016586218
2016-01-22,109.782,114.2385,,,,110.4802503965482,113.70046958735622,32.74307864418826,-3.2202191908080238,-2.462088647210374,-0.75813054359765
2016-01-25,109.39000000000001,113.60650000000001,,,,110.16944264323308,113.31228665495946,35.55335152887578,-3.142844011726382,-2.5982397201135754,-0.5446042916128064
2016-01-26,109.13399999999999,113.1695,,,,110.43568223658184,113.20767282866618,44.665535744319,-2.771990592084336,-2.6329898945077277,-0.13900069757660827
2016-01-27,109.01199999999999,112.756,,,,110.53480804633848,113.05006743395016,43.101124780023994,-2.515259387611678,-2.609443793128518,0.09418440551683993
2016-01-28,108.904,112.08699999999999,,,,110.14791450074796,112.67746984625015,37.78290901094587,-2.529555345502189,-2.5934661036032525,0.06391075810106361
2016-01-29,109.05,111.71799999999999,,,,110.53131226986366,112.67469430208348,48.17936486235377,-2.1433820322198187,-2.5034492893265656,0.3600672571067469
2016-02-01,109.63999999999999,111.497,,,,111.22957192065387,112.852124353781,52.660125041792234,-1.622552433127126,-2.327269918086678,0.7047174849595521
2016-02-02,110.11299999999999,111.20599999999999,,,,111.36348393286096,112.7964114386861,47.27923331935386,-1.4329275058251483,-2.1484014356343724,0.7154739298092241
2016-02-03,110.532,110.8635,,,,111.39679409703619,112.70630688767233,46.38554393675375,-1.3095127906361341,-1.980623706634725,0.6711109159985909
2016-02-04,111.022,110.67099999999998,,,,111.46651808210756,112.64287674784475,46.946303802386666,-1.1763586657371974,-1.8197706984552195,0.6434120327180222
2016-02-05,111.174,110.478,,,,111.09320760793716,112.37599698874513,42.020435392695695,-1.2827893808079693,-1.7123744349257697,0.42958505411780035
2016-02-08,110.775,110.08250000000001,,,,110.07425259133144,111.79036758217141,35.497111032811546,-1.7161149908399693,-1.7131225461086097,-0.0029924447313596225
2016-02-09,110.13700000000001,109.63550000000001,,,,109.37359834651123,111.32589590941798,37.883139947687454,-1.9522975629067503,-1.760957549468238,-0.19134001343851237
2016-02-10,109.928,109.46999999999998,,,,109.31458321627872,111.15286658279443,45.109485082703856,-1.8382833665157108,-1.7764227128777326,-0.061860653637978213
2016-02-11,109.29100000000001,109.0975,114.37899999999999,,,108.13541656762045,110.44895053962446,35.65942086752976,-2.3135339720040093,-1.883844964702988,-0.42968900730102133
2016-02-12,108.453,108.75150000000001,113.9576,,,107.53919863414039,109.99050975891154,40.43765889327447,-2.451311124771152,-1.9973381967166208,-0.45397292805453127
2016-02-16,107.556,108.598,113.6208,,,107.31778345965725,109.70232385084402,43.61669418303332,-2.384540391186775,-2.074778635610652,-0.30976175557612295
2016-02-17,107.12,108.6165,113.41239999999999,,,107.3827398504792,109.55696652855929,46.36450356852746,-2.174226678080089,-2.0946682441045397,-0.07955843397554929
2016-02-18,106.694,108.61299999999999,113.1698,,,107.37308756579009,109.39126530422156,45.749590945824046,-2.0181777384314756,-2.079370142969927,0.06119240453845132
2016-02-19,106.208,108.61500000000001,112.96779999999998,,,107.314151017207,109.21339380020515,45.24187856197091,-1.899242782998158,-2.043344670975573,0.1441018879774152
2016-02-22,106.30699999999999,108.7405,112.76280000000001,,,107.7319739376367,109.2738831483381,50.67266270354806,-1.5419092107014052,-1.9430575789207396,0.4011483682193344
2016-02-23,106.833,108.804,112.58239999999999,,,108.03936256261565,109.30766958179453,50.14413651420136,-1.2683070191788772,-1.8081074669723671,0.5398004477934899
2016-02-24,107.34700000000001,108.74199999999999,112.3734,,,108.44253755298247,109.4078422053653,51.82174356387869,-0.9653046523828266,-1.6395469040544592,0.6742422516716327
