date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,101.308,,,,,,,,,,
2015-12-15,100.76,,,,,,,,,,
2015-12-16,100.48100000000001,,,,,101.04083333333334,,,,,
2015-12-17,100.252,,,,,100.88070512820514,,,,,
2015-12-18,99.726,,,,,100.43751972386589,,,,,
2015-12-21,99.16999999999999,,,,,99.89174745865574,,25.885383129426955,,,
2015-12-22,98.854,,,,,99.60070938809332,,31.182449523984758,,,
2015-12-23,98.53200000000001,,,,,99.23752332838666,,29.621414528406532,,,
2015-12-24,98.221,,,,,98.94559666248101,,30.117143330197422,,,
2015-12-28,98.175,,,,,98.64627409902239,,29.359923228755022,,,
2015-12-29,98.16,99.73400000000001,,,,98.50377039148049,,33.19067244904993,,,
2015-12-30,97.979,99.3695,,,,98.28626725432964,,31.57706794558247,,,
2015-12-31,97.551,99.01599999999999,,,,97.96991844597125,,29.470791228919182,,,
2016-01-04,97.035,98.64349999999999,,,,97.48839253120644,,26.405074302739038,,,
2016-01-05,96.813,98.26950000000001,,,,97.22556291102084,,31.58794782366006,,,
2016-01-06,96.566,97.868,,,,96.79393784778686,,28.464579184232278,,,
2016-01-07,96.026,97.44000000000001,,,,96.14871664043504,98.67846153846153,24.914262936747278,-2.529744898026493,,
2016-01-08,95.441,96.9865,,,,95.41660638806042,98.1385754985755,22.871769353634278,-2.72196911051509,,
2016-01-11,94.873,96.547,,,,94.83866694374343,97.65868101719954,24.36187307750552,-2.8200140734561074,,
2016-01-12,94.473,96.324,,,,94.55579510624445,97.31359353444401,31.44120130038057,-2.757798428199564,,
2016-01-13,93.76199999999999,95.961,,,,93.94874970528376,96.81703105041112,26.65016958711456,-2.8682813451273574,,
2016-01-14,93.168,95.5735,,,,93.5181728275478,96.39725097260289,29.27256609691733,-2.8790781450550895,,
2016-01-15,92.549,95.05,,,,92.98306931561737,95.92634349315082,27.12574973285095,-2.9432741775334534,,
2016-01-19,92.1,94.5675,,,,92.57798172859931,95.51328101217669,28.6984872405191,-2.935299283577379,,
2016-01-20,91.39200000000001,94.10249999999999,,,,91.98136915496865,95.00859352979323,25.539153040208944,-3.027224374824584,-2.831409315146124,-0.19581505967846002
2016-01-21,90.857,93.7115,,,,91.53346620805038,94.56869771277151,27.467441595694552,-3.035231504721125,-2.8721737530611247,-0.16305775166000025
2016-01-22,90.587,93.3065,,,,91.28216371450418,94.22286825256622,31.7379948763612,-2.940704538062036,-2.885879910061307,-0.05482462800072918
2016-01-25,90.39000000000001,92.9155,,,,90.99567698919584,93.8671002338576,30.615360456108917,-2.871423244661756,-2.882988576981397,0.011565332319641186
2016-01-26,90.317,92.595,,,,90.98557283701187,93.64953725357185,38.040233523248034,-2.6639644165599776,-2.8391837448971136,0.17521932833713594
2016-01-27,90.104,92.2885,,,,90.9677924005485,93.44364560515912,37.86683567711772,-2.4758532046106154,-2.766517636839814,0.2906644322291987
2016-01-28,90.143,91.9525,,,,90.97274741584873,93.26263481959177,38.52072768301505,-2.2898874037430375,-2.671191590220459,0.3813041864774216
2016-01-29,90.348,91.75800000000001,,,,91.31540165956432,93.2579952033257,48.41473512603089,-1.9425935437613902,-2.5254719809286454,0.5828784371672553
2016-02-01,90.752,91.6505,,,,91.7407244811698,93.3188844475238,51.759027534027744,-1.5781599663539936,-2.3360095780137153,0.7578496116597218
2016-02-02,91.186,91.643,,,,92.19445917637445,93.42044856252204,53.9859293982484,-1.2259893861475888,-2.11400553964049,0.8880161534929014
2016-02-03,91.849,91.62049999999999,,,,92.67685007231684,93.56189681715003,56.26695202738457,-0.8850467448331898,-1.8682137806790302,0.9831670358458404
2016-02-04,92.56700000000001,91.712,,,,93.22656544580656,93.76101557143521,59.38390094953596,-0.534450125628652,-1.6014610496689545,1.0670109240403025
2016-02-05,93.114,91.8505,,,,93.55632460799016,93.88019960318076,55.322278718509125,-0.32387499519059304,-1.3459438387732823,1.0220688435826892
2016-02-08,93.902,92.146,,,,94.13227466829937,94.13351815109328,61.535911332681366,-0.0012434827939102888,-1.0770037675774078,1.0757602847834975
2016-02-09,94.562,92.4395,,,,94.65500164240717,94.38510939916044,62.21041129956483,0.2698922432467299,-0.8076245654125803,1.0775168086593103
2016-02-10,95.087,92.5955,,,,94.88038600511376,94.51361981403745,55.75550157709413,0.3667661910763087,-0.5727464141148025,0.9395126051911112
2016-02-11,95.49600000000001,92.8195,95.7738,,,94.91263431201934,94.55631464262727,51.54784389569631,0.3563196693920645,-0.38693319741342913,0.7432528668054936
2016-02-12,95.901,93.1245,95.63119999999999,,,95.27222903324713,94.75584689132155,58.603223807371464,0.5163821419255754,-0.20627012954562823,0.7226522714712036
2016-02-16,96.349,93.5505,95.5364,,,95.77803995120911,95.03763601048291,62.19839642771141,0.7404039407261962,-0.016935315491263342,0.7573392562174596
2016-02-17,96.71000000000001,93.94800000000001,95.4566,,,96.16603380486924,95.279292602299,61.06487064364898,0.8867412025702492,0.1637999881210392,0.72294121444921
2016-02-18,96.92299999999999,94.386,95.34060000000001,,,96.36510552719704,95.44082648361018,57.423755376080976,0.9242790435868642,0.3158957992142042,0.60838324437266
2016-02-19,97.035,94.80100000000002,95.23899999999999,,,96.51970467685904,95.58372822556498,57.03137728254058,0.9359764512940529,0.43991192963017395,0.496064521663879
2016-02-22,97.3,95.20700000000001,95.1762,,,96.75051934195764,95.76419280144906,59.199738537787795,0.9863265405085855,0.5491948518058563,0.4371316887027292
2016-02-23,97.267,95.5845,95.1064,,,96.78428559704109,95.85351185319357,54.42207130057708,0.9307737438475243,0.62551063021419,0.30526311363333436
2016-02-24,97.201,95.88149999999999,95.03479999999999,,,96.79747242826554,95.92880727147553,53.975298682640954,0.8686651567900014,0.6741415355293523,0.19452362126064915
2016-02-25,97.361,96.224,95.04,,,96.93939974699391,96.0614882143292,57.19220179429196,0.8779115326647116,0.7148955349564241,0.16301599770828745
2016-02-26,97.596,96.546,95.03139999999999,,,97.0164151705333,96.16360019845297,55.80841096525983,0.8528149720803384,0.742479422381207,0.1103355496991314
