date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,36.799,,,,,,,,,,
2015-12-15,36.705,,,,,,,,,,
2015-12-16,36.75600000000001,,,,,36.84583333333333,,,,,
2015-12-17,36.728,,,,,36.78647435897436,,,,,
2015-12-18,36.547,,,,,36.640862919132154,,,,,
2015-12-21,36.470000000000006,,,,,36.56380708541951,,39.697802197802204,,,
2015-12-22,36.492000000000004,,,,,36.55399061073959,,42.7467897271268,,,
2015-12-23,36.579,,,,,36.642607439856576,,47.72778513654428,,,
2015-12-24,36.616,,,,,36.7083601414171,,47.30567582376261,,,
2015-12-28,36.688,,,,,36.74399704273755,,46.34920284042702,,,
2015-12-29,36.734,36.7665,,,,36.798766728470234,,47.74947177852965,,,
2015-12-30,36.751,36.728,,,,36.809725693320964,,45.89511098303549,,,
2015-12-31,36.654999999999994,36.7055,,,,36.7620755866562,,43.001951329317286,,,
2016-01-04,36.617000000000004,36.6725,,,,36.65714088101679,,39.92524651111344,,,
2016-01-05,36.64,36.5935,,,,36.566811514706515,,39.852135185868704,,,
2016-01-06,36.588,36.529,,,,36.42114820475167,,36.60380285548054,,,
2016-01-07,36.408,36.45,,,,36.15635617325141,36.58346153846154,31.034361107898192,-0.42710536521013154,,
2016-01-08,36.132,36.3555,,,,35.88153214659735,36.41950142450143,29.311559832961166,-0.5379692779040823,,
2016-01-11,35.833,36.2245,,,,35.60437335481314,36.24620502268651,27.848497320365198,-0.6418316678733689,,
2016-01-12,35.565999999999995,36.126999999999995,,,,35.39908514638035,36.099819465450466,30.30308087322466,-0.700734319070115,,
2016-01-13,35.193999999999996,35.964,,,,35.08845666232183,35.89835135689858,25.864382423830563,-0.809894694576748,,
2016-01-14,34.864000000000004,35.8075,,,,34.85484794504155,35.7258808860172,28.279619243687605,-0.8710329409756525,,
2016-01-15,34.512,35.5835,,,,34.56640979965054,35.52248230186778,25.501322622421625,-0.9560725022172392,,
2016-01-19,34.2,35.4085,,,,34.31926983047354,35.33266879802572,25.410189630935264,-1.0133989675521846,,
2016-01-20,33.873,35.2565,,,,34.08553601040069,35.14506370187567,24.651217270139014,-1.0595276914749832,-0.7797297140949451,-0.2797979773800381
2016-01-21,33.634,35.111000000000004,,,,33.95391508572366,35.00320713136636,30.646626113944365,-1.0492920456427015,-0.8336421804044964,-0.21564986523820506
2016-01-22,33.56699999999999,34.9875,,,,33.965620457150784,34.93111771422811,40.18281319985673,-0.9654972570773239,-0.860013195739062,-0.10548406133826194
2016-01-25,33.504,34.818,,,,33.93090961758913,34.84288677243344,38.135745953933366,-0.9119771548443083,-0.8704059875601113,-0.041571167284196964
2016-01-26,33.551,34.692,,,,34.026154291806186,34.821191455956885,46.35598998154652,-0.795037164150699,-0.855332222878229,0.06029505872752994
2016-01-27,33.613,34.5895,,,,34.15905363152831,34.82628838514526,49.39555988336331,-0.6672347536169525,-0.8177127290259737,0.1504779754090212
2016-01-28,33.77,34.482,,,,34.28073768821626,34.835452208467835,49.93467923392789,-0.5547145202515722,-0.7651130872710935,0.2103985670195213
2016-01-29,34.007999999999996,34.43599999999999,,,,34.53754727464453,34.91801130413689,57.97133434209352,-0.3804640294923587,-0.6881832757153467,0.30771924622298796
2016-02-01,34.272000000000006,34.391999999999996,,,,34.704078463160755,34.97001046679341,54.84269338335707,-0.26593200363265623,-0.6037330212988086,0.33780101766615234
2016-02-02,34.462,34.331,,,,34.72806639190525,34.96186154332723,48.36845112625516,-0.2337951514219796,-0.5297454473234428,0.29595029590146316
2016-02-03,34.749,34.311,,,,34.87297925468906,35.01431624382151,54.52951694854414,-0.14133698913245496,-0.45206375568524526,0.3107267665527903
2016-02-04,35.134,34.384,,,,35.21252090781382,35.16732985539029,62.841703289560805,0.045191052423525946,-0.352612794063491,0.39780384648701694
2016-02-05,35.397000000000006,34.482000000000006,,,,35.43520999891938,35.27789801425027,59.36073676815351,0.15731198466911422,-0.25062783831696994,0.40793982298608417
2016-02-08,35.645,34.5745,,,,35.555946922162555,35.34768334652802,55.86923177299321,0.20826357563453257,-0.15884955552666943,0.36711313116120203
2016-02-09,35.861000000000004,34.706,,,,35.73349354952216,35.44859569122965,58.77713309014062,0.2848978582925099,-0.07010007276283356,0.3549979310553435
2016-02-10,36.015,34.814,,,,35.84064838805721,35.52129230669412,56.48663205489946,0.3193560813630896,0.007791158062351075,0.3115649233007385
2016-02-11,36.141,34.9555,35.7276,,,35.89747171297149,35.57230769138344,54.68349921327877,0.32516402158804425,0.07126573076748971,0.25389829082055454
2016-02-12,36.25,35.129,35.7156,,,36.073245295591256,35.68102564016985,59.886063123828855,0.3922196554214068,0.13545651569827313,0.2567631397231337
2016-02-16,36.388,35.33,35.7166,,,36.21582294242337,35.778727444601714,59.53135315587595,0.4370954978216588,0.19578431212295028,0.24131118569870852
2016-02-17,36.66799999999999,35.565000000000005,35.735,,,36.43800402820439,35.91808096722381,63.38502715878248,0.5199230609805809,0.26061206189447644,0.2593109990861045
2016-02-18,36.854,35.8015,35.7326,,,36.60600340848064,36.037482377059085,62.13003223483156,0.5685210314215539,0.3221938557998919,0.24632717562166195
2016-02-19,36.849000000000004,35.991499999999995,35.735,,,36.67123365332977,36.111002200980636,57.42094275780481,0.5602314523491358,0.3698013751097407,0.19043007723939515
2016-02-22,36.947,36.172,35.7622,,,36.820274629740574,36.22426129720429,61.27704361657653,0.5960133325362804,0.41504376659504866,0.18096956594123176
2016-02-23,37.057,36.351,35.7834,,,36.89715545593433,36.305427127041014,58.29451340548427,0.5917283288933177,0.4503806790547025,0.1413476498386152
2016-02-24,37.132999999999996,36.497,35.7988,,,36.98528538579059,36.39169178429724,59.294661657948986,0.5935936014933532,0.4790232635424327,0.11457033795092048
2016-02-25,37.245999999999995,36.6305,35.8256,,,37.07370301874589,36.478233133608555,59.91578873774886,0.5954698851373337,0.5023125878614129,0.09315729727592081
2016-02-26,37.397000000000006,36.769,35.8472,,,37.17313332355421,36.570215864452365,61.053570328042255,0.602917459101846,0.5224335621094995,0.08048389699234648
