date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,28.723000000000003,,,,,,,,,,
2015-12-15,28.472999999999995,,,,,,,,,,
2015-12-16,28.3,,,,,28.612499999999997,,,,,
2015-12-17,28.129,,,,,28.481346153846154,,,,,
2015-12-18,27.781,,,,,28.208831360946746,,,,,
2015-12-21,27.565999999999995,,,,,27.98747269003186,,28.68852459016395,,,
2015-12-22,27.482,,,,,27.860169199257726,,32.031250000000014,,,
2015-12-23,27.47,,,,,27.830912399371922,,36.24024284475284,,,
2015-12-24,27.428000000000004,,,,,27.823079722545472,,37.14435105165544,,,
2015-12-28,27.456,,,,,27.79491361138463,,36.436198458174495,,,
2015-12-29,27.542,28.1325,,,,27.797234594248533,,37.9823600447165,,,
2015-12-30,27.498,27.985500000000002,,,,27.74689081051799,,36.09147831116757,,,
2015-12-31,27.407,27.853499999999997,,,,27.678138378130605,,35.14925629391412,,,
2016-01-04,27.302,27.7155,,,,27.52919401226436,,32.024483237073184,,,
2016-01-05,27.273000000000003,27.526999999999997,,,,27.358548779608306,,30.585206115295065,,,
2016-01-06,27.161,27.363500000000005,,,,27.09569512120703,,27.1022709868664,,,
2016-01-07,26.933,27.207500000000003,,,,26.75481894871364,27.733846153846155,24.141633037922475,-0.979027205132514,,
2016-01-08,26.625999999999998,27.048000000000002,,,,26.423308341219236,27.501709401709405,23.15124374803888,-1.0784010604901688,,
2016-01-11,26.258999999999997,26.8435,,,,26.06741475026243,27.25047166824945,21.48976891048393,-1.1830569179870203,,
2016-01-12,25.895999999999997,26.676,,,,25.75088940406821,27.0104367298606,21.15607888733892,-1.25954732579239,,
2016-01-13,25.404,26.473000000000003,,,,25.310752572673103,26.70521919431537,17.81879912577081,-1.394466621642266,,
2016-01-14,24.956,26.226999999999997,,,,24.95371371533878,26.43001777251423,19.04668703892355,-1.4763040571754509,,
2016-01-15,24.46,25.9335,,,,24.551603912978965,26.12705349306873,17.243240897971816,-1.5754495800897637,,
2016-01-19,23.983,25.642500000000002,,,,24.149818695597585,25.816901382471045,16.225112026364926,-1.66708268687346,,
2016-01-20,23.488,25.3805,,,,23.737538896274877,25.49490868747319,15.097133328407992,-1.757369791198311,-1.3745228051534828,-0.38284698604482825
2016-01-21,23.032,25.0965,,,,23.3302252199249,25.168619155067766,14.235436668482393,-1.838393935142868,-1.4672970311513598,-0.3710969039915082
2016-01-22,22.695,24.814,,,,23.050190570705684,24.89761032876645,19.69141068608792,-1.8474197580607665,-1.543321576533241,-0.30409818152752544
2016-01-25,22.274,24.45,,,,22.640930482904807,24.563713267376343,16.649662469820555,-1.9227827844715364,-1.6192138181209002,-0.30356896635063624
2016-01-26,21.988,24.1235,,,,22.42694117784253,24.318253025348465,26.090524759983552,-1.8913118475059356,-1.6736334239979074,-0.21767842350802824
2016-01-27,21.765,23.830499999999997,,,,22.327411765866756,24.13023428273006,31.25811244688387,-1.802822516863305,-1.699471242570987,-0.10335127429231794
2016-01-28,21.691000000000003,23.5475,,,,22.300117648041102,23.98355026178709,34.691088088939395,-1.683432613745989,-1.6962635168059874,0.012830903059998455
2016-01-29,21.66,23.308,,,,22.35856108680401,23.886990983136194,39.36251220115579,-1.5284298963321845,-1.6626967927112268,0.13426689637904232
2016-02-01,21.676,23.068,,,,22.380320919603392,23.784250910311293,38.35899372124596,-1.4039299907079013,-1.6109434323105618,0.20701344160266055
2016-02-02,21.636000000000003,22.8095,,,,22.251040778125947,23.618010102140087,33.45955688892542,-1.3669693240141392,-1.5621486106512774,0.19517928663713824
2016-02-03,21.666,22.577,,,,22.17703450456811,23.481120464944524,35.58243258027362,-1.3040859603764154,-1.510536080596305,0.20645012021988962
2016-02-04,21.762,22.397,,,,22.157490734634553,23.3751115416153,38.16863542622578,-1.2176208069807473,-1.4519530258731936,0.23433221889244638
2016-02-05,21.774,22.2345,,,,22.076338313921543,23.245844020014164,35.84402099249728,-1.1695057060926217,-1.3954635619170792,0.2259578558244575
2016-02-08,21.807,22.0405,,,,21.867670881010536,23.05874446297608,31.384067672214357,-1.1910735819655436,-1.3545855659267723,0.16351198396122868
2016-02-09,21.758999999999997,21.8735,,,,21.698798437778144,22.889207836088964,31.885562043625868,-1.1904093983108197,-1.3217503324035818,0.13134093409276204
2016-02-10,21.654999999999998,21.71,,,,21.551290985812276,22.73000725563793,31.735688507973336,-1.178716269825653,-1.293143519887996,0.11442725006234289
2016-02-11,21.43,21.560499999999998,24.958000000000002,,,21.297246218764233,22.520377088553637,27.796047606057527,-1.2231308697894043,-1.2791409898682775,0.05601012007887318
2016-02-12,21.261000000000003,21.4605,24.7696,,,21.249977569723583,22.40701582273485,38.47004737067073,-1.1570382530112653,-1.2547204424968752,0.09768218948560992
2016-02-16,21.179,21.427500000000002,24.604400000000002,,,21.316134866689186,22.353162798828563,44.10330512318301,-1.0370279321393774,-1.2111819404253756,0.17415400828599825
2016-02-17,21.184,21.410000000000004,24.446800000000003,,,21.35826796412162,22.29663222113756,43.543324845126705,-0.938364257015941,-1.1566184037434888,0.21825414672754784
2016-02-18,21.124000000000002,21.395,24.266399999999997,,,21.329303661949062,22.213177982534777,40.931462288246124,-0.8838743205857149,-1.1020695871119341,0.21819526652621923
2016-02-19,21.06,21.411,24.1162,,,21.341718483187666,22.15368331716183,43.034220843277446,-0.8119648339741623,-1.0440486364843797,0.23208380251021743
2016-02-22,21.118000000000002,21.445999999999998,24.0004,,,21.475300255004946,22.15785492329799,49.489015764340685,-0.6825546682930437,-0.9717498428461127,0.289195174553069
2016-02-23,21.166999999999998,21.487000000000002,23.8688,,,21.43448483115803,22.087643447498138,42.93935744583226,-0.6531586163401073,-0.9080315975449116,0.2548729812048043
2016-02-24,21.157999999999998,21.458499999999997,23.718399999999995,,,21.318410241749103,21.983373562498276,39.92357632057617,-0.6649633207491732,-0.859417942185764,0.19445462143659076
2016-02-25,21.207,21.431,23.5958,,,21.304808666095393,21.92756811342433,44.295812604109585,-0.6227594473289351,-0.8120862432143982,0.18932679588546308
