date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,46.062,,,,,,,,,,
2015-12-15,46.058,,,,,,,,,,
2015-12-16,46.13,,,,,46.223333333333336,,,,,
2015-12-17,46.283,,,,,46.30128205128205,,,,,
2015-12-18,46.297,,,,,46.34723865877712,,,,,
2015-12-21,46.440000000000005,,,,,46.499971172811414,,52.05479452054798,,,
2015-12-22,46.618,,,,,46.68766791545581,,54.379728374806305,,,
2015-12-23,46.895,,,,,46.88648823615492,,55.953533397870274,,,
2015-12-24,47.098,,,,,47.07779773828493,,56.87779854978853,,,
2015-12-28,47.305,,,,,47.2042903939334,,54.97296968873211,,,
2015-12-29,47.479,46.7705,,,,47.37747648717441,,57.81725601856627,,,
2015-12-30,47.608000000000004,46.833,,,,47.513249335301424,,57.18398632552979,,,
2015-12-31,47.690999999999995,46.9105,,,,47.57582636063967,,54.085310692893124,,,
2016-01-04,47.745,47.013999999999996,,,,47.52877615131049,,48.65698375537584,,,
2016-01-05,47.886,47.0915,,,,47.60281058957041,,54.282613086235116,,,
2016-01-06,47.95399999999999,47.196999999999996,,,,47.66699357579034,,54.35539645245641,,,
2016-01-07,47.838,47.228,,,,47.4966868718226,46.97884615384615,43.47333377064711,0.5178407179764477,,
2016-01-08,47.628,47.2615,,,,47.24796581461912,46.89745014245014,39.506219019803396,0.3505156721689815,,
2016-01-11,47.273,47.1855,,,,46.83750953544695,46.72578716893531,33.25786889355355,0.11172236651163558,,
2016-01-12,46.980000000000004,47.1425,,,,46.550200376147416,46.59572886012529,36.50247958280144,-0.04552848397787557,,
2016-01-13,46.472,46.9755,,,,46.042477241355506,46.3478970927086,29.6552788456097,-0.30541985135309346,,
2016-01-14,46.059,46.8335,,,,45.74824997345466,46.18360841917463,36.24468115877827,-0.4353584457199702,,
2016-01-15,45.605000000000004,46.648,,,,45.38390382369241,45.97593372145799,33.375210430663614,-0.5920298977655847,,
2016-01-19,45.196999999999996,46.471000000000004,,,,45.04638015850896,45.76956826060925,32.66957875054423,-0.7231881021002877,,
2016-01-20,44.775,46.3305,,,,44.85309090335373,45.62293357463819,37.1859844674968,-0.7698426712844579,-0.21014318839380053,-0.5596994828906574
2016-01-21,44.281,46.1175,,,,44.58030768745316,45.43456812466499,34.25758609750309,-0.8542604372118348,-0.3389666381574074,-0.5152937990544273
2016-01-22,43.965,45.9015,,,,44.39872188938344,45.28385937468981,36.67795797139639,-0.8851374853063732,-0.44820080758720054,-0.4369366777191726
2016-01-25,43.697,45.6625,,,,44.214303137170596,45.129499421009086,35.791055912350615,-0.9151962838384904,-0.5415999028374585,-0.3735963810010319
2016-01-26,43.626,45.4495,,,,44.161333423759736,45.03620316760101,40.94300268037091,-0.8748697438412734,-0.6082538710382215,-0.2666158728030519
2016-01-27,43.444,45.212,,,,44.00574366625824,44.89648441444538,37.46416420663581,-0.8907407481871417,-0.6647512464680055,-0.22598950171913612
2016-01-28,43.403000000000006,44.9375,,,,43.826398486833895,44.744152235597575,36.04411679776169,-0.9177537487636798,-0.7153517469271404,-0.20240200183653934
2016-01-29,43.295,44.67700000000001,,,,43.70695256578252,44.61865947740516,37.76504772915489,-0.9117069116226375,-0.7546227798662399,-0.15708413175639757
2016-02-01,43.253,44.428999999999995,,,,43.592036786431365,44.49579581241218,37.30179227928722,-0.9037590259808184,-0.7844500290891556,-0.11930899689166274
2016-02-02,43.106,44.1515,,,,43.304031126980384,44.29018130778906,31.5579428831972,-0.9861501808086786,-0.8247900594330603,-0.16136012137561828
2016-02-03,42.858,43.816500000000005,,,,42.99725710744494,44.069427136841725,29.917555912435176,-1.072170029396787,-0.8742660534258058,-0.1979039759709813
2016-02-04,42.704,43.4925,,,,42.77306370629956,43.88206216374234,32.051324339203305,-1.1089984574427802,-0.9212125342292007,-0.18778592321357956
2016-02-05,42.455,43.209999999999994,,,,42.48643852071501,43.66190941087254,29.409951261299923,-1.175470890157527,-0.972064205414866,-0.203406684742661
2016-02-08,42.153999999999996,42.9255,,,,42.13314028675886,43.40473093599309,26.701641363841887,-1.2715906492342341,-1.0319694941787396,-0.23962115505549453
2016-02-09,41.753,42.6895,,,,41.78342639648827,43.14215827406768,25.54071869213753,-1.358731877579416,-1.097321970858875,-0.2614099067205409
2016-02-10,41.370999999999995,42.4075,,,,41.40597618164392,42.8597761796923,23.754411209471655,-1.4537999980483747,-1.168617576296775,-0.2851824217515997
2016-02-11,41.022999999999996,42.213,44.8878,,,41.091210615237166,42.60053349971509,24.078094493546345,-1.5093228844779247,-1.2367586379330051,-0.2725642465449196
2016-02-12,40.761,42.028,44.7562,,,40.98948590520068,42.43975324047694,34.72239164287444,-1.4502673352762585,-1.279460377401656,-0.17080695787460254
2016-02-16,40.507999999999996,41.8805,44.6374,,,40.90341115055442,42.290882630071245,34.72239164287444,-1.387471479516826,-1.3010625978246901,-0.08640888169213579
2016-02-17,40.516000000000005,41.81099999999999,44.5694,,,41.041347896622966,42.25452095376967,45.97066085621028,-1.2131730571467045,-1.283484689689093,0.07031163254238848
2016-02-18,40.587,41.722500000000004,44.4806,,,41.19190975868097,42.23714903126821,47.53411541913427,-1.0452392725872386,-1.2358356062687221,0.19059633368148354
2016-02-19,40.616,41.66,44.39900000000001,,,41.29007748811467,42.20698984376686,46.28833144901437,-0.9169123556521939,-1.1720509561454164,0.25513860049322257
2016-02-22,40.80200000000001,41.628499999999995,44.33560000000001,,,41.51775787455856,42.248694299784134,52.869437391154584,-0.7309364252255719,-1.0838280499614477,0.35289162473587576
2016-02-23,41.02,41.587,44.278800000000004,,,41.6488720477034,42.25767990720753,50.058661056053516,-0.6088078595041324,-0.9888240118699847,0.3800161523658523
2016-02-24,41.271,41.512,44.2042,,,41.759814809595184,42.26599991408104,50.058661056053516,-0.5061851044858585,-0.8922962303931595,0.386111125907301
2016-02-25,41.628,41.4995,44.145599999999995,,,41.93522791581131,42.312962883408375,53.83057126307029,-0.37773496759706404,-0.7893839778339405,0.4116490102368765
